ensembl_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,category
ENSG00000060718,COL11A1,3001.137932470599,6.765616850433049,0.4879443989795641,13.86554874814006,1.0243966889913451e-43,2.6092408065298552e-39,Upregulated
ENSG00000174827,PDZK1,328.80978101374933,-4.732324037531439,0.4145929809031259,-11.41438532611626,3.5440052438834944e-30,4.513467878347823e-26,Downregulated
ENSG00000136883,KIF12,818.6006887314718,-3.50459872150912,0.3149332716966136,-11.128067551037365,9.159976904728771e-29,7.777125724678221e-25,Downregulated
ENSG00000126010,GRPR,374.8852080589942,-3.942282719753463,0.3611255925497592,-10.916652824073273,9.596758758118828e-28,6.1109760582011164e-24,Downregulated
ENSG00000099953,MMP11,3921.704601838498,4.779076165699541,0.4650551871145334,10.276363533007006,9.006177843836211e-25,4.5526132410365045e-21,Upregulated
ENSG00000165474,GJB2,324.356024978497,3.452886244433264,0.3365544782330256,10.259516564930488,1.0724227335487035e-24,4.5526132410365045e-21,Upregulated
ENSG00000294063,,155.63653068230968,-5.754178578560952,0.566709165954171,-10.153671273116984,3.19127474999185e-24,1.161213702243463e-20,Downregulated
ENSG00000130208,APOC1,2401.546186229676,3.052766225617704,0.3051263975075922,10.00492337127844,1.4500390706764348e-23,4.6167431461499336e-20,Upregulated
ENSG00000123500,COL10A1,1535.3065847090645,5.585323829570544,0.5697865270860337,9.80248490278395,1.09849427883998e-22,3.108860864037015e-19,Upregulated
ENSG00000122641,INHBA,1497.659347841308,3.7278229871473503,0.3938414352503469,9.465288955129225,2.9275051957262213e-21,7.456648484034257e-18,Upregulated
ENSG00000196611,MMP1,983.131160857516,7.460695326461112,0.8009946185794419,9.31428895201893,1.2277209859157636e-20,2.84284374838731e-17,Upregulated
ENSG00000151790,TDO2,513.7627732414863,5.194572531948253,0.5637437164748488,9.21442205055603,3.1295967398913727e-20,6.642829880147764e-17,Upregulated
ENSG00000137745,MMP13,324.0232667757684,7.403143699042538,0.8110815660121815,9.127495937851648,7.010194131358736e-20,1.373512728614141e-16,Upregulated
ENSG00000115593,SMYD1,299.79766889402777,-4.6950390695176,0.515193810104764,-9.113151162594267,8.0023199721095e-20,1.455907800068579e-16,Downregulated
ENSG00000135063,ENTREP1,1137.1150691188836,-3.434240372276391,0.3949902001013128,-8.694495132779311,3.4837533445317376e-18,5.915645429237858e-15,Downregulated
ENSG00000137872,SEMA6D,741.2151616415827,-2.632863884622898,0.3067446695082132,-8.583242502124072,9.223563017164669e-18,1.4683335850637577e-14,Downregulated
ENSG00000163879,DNALI1,548.6443256007627,-2.9764633547458748,0.3499335918080635,-8.505794883443047,1.803555838501311e-17,2.7022571036745222e-14,Downregulated
ENSG00000130045,NXNL2,124.11039873919762,-4.14560956422059,0.502136885185632,-8.255935157378499,1.5071743942932486e-16,2.132735499835741e-13,Downregulated
ENSG00000164694,FNDC1,1152.551285083832,4.164340388652556,0.5058922198508246,8.2316750984637,1.84613417176156e-16,2.474888604680984e-13,Upregulated
ENSG00000230838,LINC01614,174.22037963350516,6.136277370344481,0.7547694669363606,8.130002125353421,4.29282907518896e-16,5.467132468706901e-13,Upregulated
ENSG00000180264,ADGRD2,247.3546454626912,-5.716429224539533,0.705124408788066,-8.106979638337378,5.189355297996137e-16,6.29419375215522e-13,Downregulated
ENSG00000105664,COMP,1120.0530239477291,4.938514527399795,0.6283638203324121,7.8593234804436385,3.862136638426868e-15,4.471476468971397e-12,Upregulated
ENSG00000066279,ASPM,626.1344631272281,4.250744116641124,0.5505894955070495,7.720350917204702,1.1600986882618046e-14,1.2847336386398446e-11,Upregulated
ENSG00000171848,RRM2,1726.6145664800233,4.641516742550489,0.6022050018476844,7.707536018979243,1.2827011056862406e-14,1.3613199942889266e-11,Upregulated
ENSG00000286214,COPG2IT1,293.80717554286394,-4.545748779506577,0.5909902538760443,-7.691749144242254,1.451369741807732e-14,1.4787135477433898e-11,Downregulated
ENSG00000134533,RERG,2480.527403928688,-2.4799809322674427,0.3226837597022543,-7.685484185989906,1.524194341184623e-14,1.4931828486274436e-11,Downregulated
ENSG00000289623,,79.27670761196768,4.834988372398333,0.6299689585264299,7.674962880247193,1.6546655980109736e-14,1.5609624980347224e-11,Upregulated
ENSG00000154529,CNTNAP3B,133.24335225095632,-2.8734857392384168,0.377303257072668,-7.615851931765826,2.6195784934644912e-14,2.3829744216797874e-11,Downregulated
ENSG00000007216,SLC13A2,270.7470043118351,-4.490564531278602,0.5903442259322486,-7.606688325251724,2.8120835602256987e-14,2.46988208146582e-11,Downregulated
ENSG00000164309,CMYA5,1641.6418431025145,-2.814560826807168,0.370984317682214,-7.586738017368506,3.280594429965057e-14,2.7853340241879988e-11,Downregulated
ENSG00000134028,ADAMDEC1,843.3246678493364,5.157735517287116,0.6867549522139436,7.510299708301681,5.899214836112019e-14,4.8470613255035234e-11,Upregulated
ENSG00000083782,EPYC,255.9073457813068,7.126699155457442,0.9531959935755544,7.476635658868355,7.62494275377076e-14,6.069216152540469e-11,Upregulated
ENSG00000170271,FAXDC2,1519.7895519103822,-2.5489457135591658,0.341821333446868,-7.456953279820285,8.854608326122136e-14,6.834416020444148e-11,Downregulated
ENSG00000179934,CCR8,117.20255513823908,5.422499607428968,0.7292065533854781,7.436164118731512,1.0365105010442381e-13,7.764987932969938e-11,Upregulated
ENSG00000278828,H3C10,176.93189685694946,3.237164554189503,0.4355938159634672,7.431612744614815,1.0728150219019841e-13,7.807334692247266e-11,Upregulated
ENSG00000169515,CCDC8,1398.3775538303971,-2.3475729445100524,0.3188437502668197,-7.362769201358097,1.8013366669602593e-13,1.2744957290040214e-10,Downregulated
ENSG00000115414,FN1,46015.85858318229,2.88706848688494,0.3928845561251821,7.34838883808162,2.0061020067022802e-13,1.3810114652084802e-10,Upregulated
ENSG00000225362,CT62,83.57797681993739,-8.268127158358425,1.1267686973213296,-7.33790988160593,2.1695516286093491e-13,1.4542276192712824e-10,Downregulated
ENSG00000016602,CLCA4,84.4079237435712,-4.673500242642286,0.6396403433619448,-7.306450087370043,2.742923230075775e-13,1.7914101946989754e-10,Downregulated
ENSG00000100276,RASL10A,341.52452014612504,-3.2433983276207896,0.4475658408087784,-7.246751275208522,4.268868422585026e-13,2.7183086897915803e-10,Downregulated
ENSG00000204262,COL5A2,9663.415463276062,2.010956887241281,0.2788081124247591,7.212691444851593,5.485662478915509e-13,3.4079343658648017e-10,Upregulated
ENSG00000029993,HMGB3,2433.9906028780347,3.2299194960430406,0.4491650487447673,7.190941292225084,6.434614781718175e-13,3.9022874548843717e-10,Upregulated
ENSG00000137225,CAPN11,227.6063276903345,-3.139617018902991,0.4369089523861292,-7.185975480145979,6.672902008570843e-13,3.9526857455885567e-10,Downregulated
ENSG00000130032,PRRG3,180.47336011575592,-3.476161159071493,0.4848087196120222,-7.170170457852656,7.490444314637657e-13,4.3361160713212677e-10,Downregulated
ENSG00000212766,EWSAT1,176.06530059888945,-3.70470507078689,0.5203903544945955,-7.119088658714494,1.0864301185351717e-12,6.149435899824301e-10,Downregulated
ENSG00000112984,KIF20A,351.3101797874669,4.176387125571528,0.587334632511608,7.110745551836646,1.154177556618887e-12,6.390881857530364e-10,Upregulated
ENSG00000197903,H2BC12,4116.821247558738,2.526261049447104,0.3560464848287847,7.095312429953999,1.2905958756976901e-12,6.994205861679971e-10,Upregulated
ENSG00000170962,PDGFD,1991.670260800024,-2.2152738241839924,0.3130904425533775,-7.07550765880156,1.489026366106607e-12,7.901456368979454e-10,Downregulated
ENSG00000140379,BCL2A1,341.35168368609493,3.7405186532326136,0.5289344754201339,7.071799678516911,1.529370946622443e-12,7.949919873759232e-10,Upregulated
ENSG00000196747,H2AC13,47.66770098028027,5.683783110533121,0.8069368978752895,7.043652515455475,1.8726481294166758e-12,9.539644100874432e-10,Upregulated
ENSG00000203727,SAMD5,975.8868832252144,-3.315355828525592,0.4717492074602187,-7.027793107220358,2.098257073862127e-12,1.0479354103596515e-09,Downregulated
ENSG00000104951,IL4I1,738.7449810555871,3.655981342705681,0.5224660495251939,6.997548158446199,2.6048054203782227e-12,1.2518301672161075e-09,Upregulated
ENSG00000174611,KY,86.60468580007377,-3.6755857397646183,0.525229053389183,-6.99806249491894,2.595263326118113e-12,1.2518301672161075e-09,Downregulated
ENSG00000141526,SLC16A3,1837.5402948605904,2.638813167422447,0.3779944493683722,6.981089727195458,2.9289916108666117e-12,1.3815619503774712e-09,Upregulated
ENSG00000224137,LINC01857,118.98023170555824,4.667156197428712,0.6694853288284554,6.9712598565764745,3.141151476953839e-12,1.4546958048998404e-09,Upregulated
ENSG00000153246,PLA2R1,2175.918143564574,-2.25569167903064,0.3249082469962994,-6.942549781004269,3.850851829946976e-12,1.720790297554025e-09,Downregulated
ENSG00000117586,TNFSF4,284.3206261077032,3.489691872081591,0.5025979436750126,6.943307102621331,3.830255025106919e-12,1.720790297554025e-09,Upregulated
ENSG00000213366,GSTM2,1015.2140038988618,-2.210648320246832,0.3185765917181653,-6.939142352940114,3.944874723023234e-12,1.7324121391400823e-09,Downregulated
ENSG00000120251,GRIA2,168.45115114650014,-4.612284683663274,0.6653134664225935,-6.932498613719094,4.134716020638434e-12,1.785005962062399e-09,Downregulated
ENSG00000086717,PPEF1,66.84525044373524,3.7285785136871192,0.5381772989286979,6.928160145567775,4.263489555327596e-12,1.80992237439582e-09,Upregulated
ENSG00000290541,CYP4F29P,72.34438639862192,-3.571299686492415,0.5165849823664078,-6.913285922739684,4.735541049836768e-12,1.977360099678562e-09,Downregulated
ENSG00000110195,FOLR1,481.0858771912615,-3.311997532051361,0.4797584970519293,-6.903468208282445,5.074801779039081e-12,2.076929538916441e-09,Downregulated
ENSG00000204767,INSYN2B,246.79087816374428,-4.353738614375836,0.6308178903726925,-6.901736112467596,5.137079853627097e-12,2.076929538916441e-09,Downregulated
ENSG00000101955,SRPX,2666.663939943573,-2.252771885876119,0.327010824867029,-6.888982610261157,5.619280712005742e-12,2.23638592211716e-09,Downregulated
ENSG00000147570,DNAJC5B,111.04482826965356,3.908353822926604,0.5684433537568788,6.875537900295678,6.175638478678226e-12,2.4199951952371247e-09,Upregulated
ENSG00000150281,CTF1,342.192305098977,-2.257962435685377,0.3285384760393613,-6.872748857016237,6.297638325121939e-12,2.4304112996845597e-09,Downregulated
ENSG00000303631,,170.714917651948,-5.444174833522874,0.7928129908555599,-6.866909216065975,6.560779116652329e-12,2.494173207167932e-09,Downregulated
ENSG00000177098,SCN4B,1030.258048880013,-2.496134313814632,0.3637225134287245,-6.862743497190137,6.755045731903041e-12,2.5302613211367993e-09,Downregulated
ENSG00000166006,KCNC2,240.16598678624487,-7.012886204547148,1.0222607201511609,-6.860173795497257,6.877682254944074e-12,2.538861517618558e-09,Downregulated
ENSG00000162849,KIF26B,1128.124202110593,2.9672783453328853,0.4326876595306299,6.857783622837138,6.9937079717965716e-12,2.544810510709007e-09,Upregulated
ENSG00000130635,COL5A1,7813.21263251632,2.08352648045635,0.3052641595365234,6.825322971487144,8.772772247317436e-12,3.147201153682005e-09,Upregulated
ENSG00000106004,HOXA5,576.6247063237713,-2.5498965332553536,0.3743846274258937,-6.810900732723285,9.698954199061875e-12,3.431139755615348e-09,Downregulated
ENSG00000148773,MKI67,1735.2517335239847,3.727808167220076,0.5488105440940846,6.792522861187965,1.1018934738943686e-11,3.8144115363575955e-09,Upregulated
ENSG00000117215,PLA2G2D,407.1616906993741,4.405736498743413,0.6486940833561547,6.791701376324279,1.1081875611105256e-11,3.8144115363575955e-09,Upregulated
ENSG00000276043,UHRF1,1159.7221752043793,4.114176288487079,0.6075740064177004,6.771481737252972,1.2747005423158751e-11,4.329053001777021e-09,Upregulated
ENSG00000151778,SERP2,146.25329221490057,-1.897282063919615,0.2813455932632127,-6.743599719881215,1.545098435893009e-11,5.178316086925111e-09,Downregulated
ENSG00000277639,CHD9NB,360.6473738960164,-2.726940610184022,0.405159580609262,-6.730534684835449,1.6904074614958502e-11,5.591736162566337e-09,Downregulated
ENSG00000301988,,192.7005614686611,-5.242738941683024,0.7825932157483917,-6.69918782348427,2.0958107651038308e-11,6.843896922815344e-09,Downregulated
ENSG00000136158,SPRY2,1661.8040184380943,-1.906349441237428,0.2847589802590518,-6.694606925137806,2.162521168427917e-11,6.972351478611072e-09,Downregulated
ENSG00000113739,STC2,12715.830107802753,-3.8288766544393926,0.5728185754740784,-6.68427459998224,2.320712894271952e-11,7.388859766250108e-09,Downregulated
ENSG00000165197,VEGFD,529.4692195157703,-4.855523706230438,0.7267438523921945,-6.68120368716942,2.3698756060528724e-11,7.452234760712681e-09,Downregulated
ENSG00000186283,TOR3A,2884.2913442183903,1.4985998470832325,0.2249175480822407,6.662885398943046,2.6850303406840445e-11,8.340293635068694e-09,Upregulated
ENSG00000187837,H1-2,3121.3104770571827,3.0131937058790474,0.4524588160135598,6.65959773405928,2.7457806486024404e-11,8.426238421753345e-09,Upregulated
ENSG00000170312,CDK1,925.1079924820732,3.267430848973833,0.4910358508504232,6.654159453561245,2.849236468904321e-11,8.6396312023169e-09,Upregulated
ENSG00000112320,SOBP,468.2301251739904,-1.7755054523571012,0.2671555988629268,-6.64596010682181,3.0124684996393665e-11,8.922161064455153e-09,Downregulated
ENSG00000117650,NEK2,385.18693976640446,4.096038799248757,0.6162686903980853,6.646514520481119,3.001148559155903e-11,8.922161064455153e-09,Upregulated
ENSG00000106278,PTPRZ1,378.2000982670996,-3.391409408805503,0.5128541577098767,-6.612814496717085,3.770808708611235e-11,1.1039800990463997e-08,Downregulated
ENSG00000147255,IGSF1,216.99213049524496,-4.81503556394052,0.7286551704699642,-6.608112807097688,3.8925004441687996e-11,1.1266577137889033e-08,Downregulated
ENSG00000092853,CLSPN,341.915313233079,3.428920564758532,0.5204463852792899,6.588422288529206,4.4452481428473596e-11,1.2721900611962373e-08,Upregulated
ENSG00000256663,,90.69695942737158,4.321788188027314,0.6564324109392988,6.583751984219067,4.587220948686134e-11,1.2982344975998282e-08,Upregulated
ENSG00000100526,CDKN3,223.4012092465126,2.826258582930008,0.4300572082389102,6.57182004808982,4.970391221680215e-11,1.3912179649166678e-08,Upregulated
ENSG00000037042,TUBG2,740.940889996941,-1.6025422092649058,0.2443214066283755,-6.55915595518181,5.4113186634939746e-11,1.4981706269332072e-08,Downregulated
ENSG00000189057,FAM111B,440.768452686669,3.0749826548251256,0.4690089222364116,6.556341487412323,5.514387549634383e-11,1.5102899492122298e-08,Upregulated
ENSG00000126787,DLGAP5,377.42670651489885,4.476696059694178,0.6832400607443515,6.552156872676743,5.671191886804512e-11,1.5367120058382738e-08,Upregulated
ENSG00000171320,ESCO2,172.5294924034066,3.49662180878197,0.5361406836849397,6.521836367181457,6.945176161469754e-11,1.8621113895662748e-08,Upregulated
ENSG00000203805,PLPP4,94.58009520207284,5.252801751190371,0.8083685668507293,6.498028209649988,8.137954752671873e-11,2.1591858906802643e-08,Upregulated
ENSG00000165194,PCDH19,248.4421746000916,-3.265227584404771,0.5040848230395683,-6.477535992287684,9.323253832644843e-11,2.4481711172298642e-08,Downregulated
ENSG00000174371,EXO1,338.7098542856889,4.328366912118376,0.6698424405983436,6.461768693324386,1.0348620177701906e-10,2.6896908627167884e-08,Upregulated
ENSG00000211659,IGLV3-25,3327.3481111071087,3.970328041979432,0.6151785411978216,6.453944304118214,1.0897587488264252e-10,2.758267726590466e-08,Upregulated
ENSG00000165304,MELK,633.6033605672256,4.545063639115118,0.7042905678918523,6.453392742032344,1.0937342090441563e-10,2.758267726590466e-08,Upregulated
ENSG00000119950,MXI1,2921.1715578447524,-1.6087123798475471,0.2492460742435975,-6.4543138130845445,1.0871033666685343e-10,2.758267726590466e-08,Downregulated
ENSG00000236313,VN1R53P,41.69053633325168,-6.246396941862395,0.9704659417095566,-6.436492692220447,1.222657191789759e-10,3.02352440117252e-08,Downregulated
ENSG00000151651,ADAM8,1352.6835251934856,2.624962140402212,0.4077501015728515,6.437673786656845,1.2131838369047664e-10,3.02352440117252e-08,Upregulated
ENSG00000154839,SKA1,187.09620874770744,4.278421909942787,0.6653815500190149,6.430027868702581,1.2758055227607946e-10,3.1246194682923275e-08,Upregulated
ENSG00000091831,ESR1,5284.929530995361,-4.585450144406889,0.7142100561024475,-6.420310250783062,1.3599688991055998e-10,3.2990255075351176e-08,Downregulated
ENSG00000283445,,43.84551063342278,-3.139089819455896,0.4895504505313759,-6.412188602928693,1.4344521805229911e-10,3.4468803292548215e-08,Downregulated
ENSG00000132561,MATN2,3298.494594567668,-2.210399701310076,0.3466650070663927,-6.376183509305697,1.8155536634830083e-10,4.321866108651935e-08,Downregulated
ENSG00000165480,SKA3,192.86967613287973,3.469496130316649,0.5450880271743269,6.3650198818383785,1.9526444093931222e-10,4.6051671992270575e-08,Upregulated
ENSG00000164611,PTTG1,477.93307916161245,3.329642230231916,0.5251300054745088,6.340605555805639,2.2886380464212803e-10,5.348064190862058e-08,Upregulated
ENSG00000135094,SDS,322.5628638463001,3.278822176721637,0.5178786838506948,6.331255328645513,2.4317454639101544e-10,5.6308171555686855e-08,Upregulated
ENSG00000184937,WT1,36.72093938378396,5.095554664334918,0.8052983131197039,6.327536741750864,2.4910566976205315e-10,5.7161896527110415e-08,Upregulated
ENSG00000253768,,282.6293199838477,-5.637932995023798,0.8916729983767891,-6.3228706098392005,2.5674828265274864e-10,5.838960274507287e-08,Downregulated
ENSG00000175063,UBE2C,1046.0355152681825,4.495473177320823,0.712189079883445,6.312190546443847,2.751131944125213e-10,6.201246172461354e-08,Upregulated
ENSG00000125931,CITED1,49.33341346817968,-5.320499184671476,0.8431625947489075,-6.310169850758041,2.7872939962509625e-10,6.227646085834058e-08,Downregulated
ENSG00000164932,CTHRC1,3284.4277474408045,2.784130309262406,0.4416119164540968,6.304472786009617,2.8917652555829776e-10,6.404882854343829e-08,Upregulated
ENSG00000123485,HJURP,478.83662469478605,4.283134330891799,0.680007484176693,6.298657633272269,3.0023430311497843e-10,6.59247235744967e-08,Upregulated
ENSG00000049249,TNFRSF9,298.4681227813584,4.198414821697912,0.6668942313713203,6.295473291266595,3.064633278250457e-10,6.67173284019807e-08,Upregulated
ENSG00000093009,CDC45,391.1464012369349,4.0659895868168885,0.6480493002999622,6.2741979428646335,3.51441177573814e-10,7.397982011555881e-08,Upregulated
ENSG00000100626,GALNT16,1300.6959859098397,-2.136608546567807,0.3403855420401906,-6.277024969278893,3.451126783761369e-10,7.397982011555881e-08,Downregulated
ENSG00000134760,DSG1,545.6049485988456,-4.597193220212805,0.7325505565257042,-6.275598563484944,3.48291755347647e-10,7.397982011555881e-08,Downregulated
ENSG00000161888,SPC24,213.30469951482985,3.981953157922224,0.6345757525982325,6.274984730535881,3.496686077160903e-10,7.397982011555881e-08,Upregulated
ENSG00000146410,MTFR2,94.23208061293192,4.044448087436648,0.6463008181129708,6.257841509848894,3.903422040830436e-10,8.149513344425579e-08,Upregulated
ENSG00000179796,LRRC3B,39.757227052109485,-5.148686049343194,0.8250799241232561,-6.240227035961729,4.369362429914956e-10,9.048132557102753e-08,Downregulated
ENSG00000168078,PBK,284.6727887931452,3.672727224536279,0.588877120651739,6.236831243284664,4.4652323334560684e-10,9.172091352053189e-08,Upregulated
ENSG00000138778,CENPE,487.9556723197352,3.0574781627327416,0.4907716885827824,6.229939977919106,4.666139132956483e-10,9.508098388442767e-08,Upregulated
ENSG00000111206,FOXM1,769.5705305344351,4.267057217250455,0.6864957931947703,6.2157077429312375,5.109382507524419e-10,1.0328657289615437e-07,Upregulated
ENSG00000109674,NEIL3,74.54738493155561,4.143433841146899,0.6671027348675574,6.211088074716874,5.261896922827788e-10,1.0553210749712329e-07,Upregulated
ENSG00000101057,MYBL2,1208.4552563675725,4.040825573138384,0.6511441452636811,6.205731254025252,5.444314753882634e-10,1.0833761023136297e-07,Upregulated
ENSG00000071127,,11448.9099557684,0.5711993281524685,0.0921056699873365,6.201565313308093,5.590431039658246e-10,1.1038284419467849e-07,Not significant
ENSG00000117984,CTSD,12570.20422402118,1.7213134640224912,0.2783075048021115,6.18493369500193,6.212857803688233e-10,1.2172900085980233e-07,Upregulated
ENSG00000138755,CXCL9,10560.459695542348,4.6904128236336105,0.7596403778020117,6.174517522627126,6.63658211097444e-10,1.2903846026612978e-07,Upregulated
ENSG00000087586,AURKA,561.5250952556926,3.207937782785009,0.5200792606745568,6.168170941145063,6.90844376751724e-10,1.3330679636547856e-07,Upregulated
ENSG00000146070,PLA2G7,591.7055675955512,2.648632316276409,0.4300493861395468,6.158902678719216,7.325072244619677e-10,1.4028339484414124e-07,Upregulated
ENSG00000286208,,137.40070331063998,-8.93609261504631,1.4522909987739092,-6.153100599391285,7.59825734758027e-10,1.4442926335837093e-07,Downregulated
ENSG00000163884,KLF15,351.2420400577309,-2.31548644948398,0.3765398935778028,-6.149378828051166,7.778698653853603e-10,1.467638766017075e-07,Downregulated
ENSG00000172478,MAB21L4,839.1222128381429,5.838869915861203,0.9497246121407548,6.147961041780233,7.848530375176992e-10,1.4699258616627437e-07,Upregulated
ENSG00000127743,IL17B,217.7611886452679,-4.080761246203673,0.6648938435545724,-6.137462823219444,8.384983343463077e-10,1.5476370343575946e-07,Downregulated
ENSG00000164128,NPY1R,1155.485981868428,-4.178204922033263,0.6806880277154558,-6.138208330262943,8.345737052335613e-10,1.5476370343575946e-07,Downregulated
ENSG00000088325,TPX2,1186.614882463774,3.8742709150206105,0.6318513929833173,6.131617272738849,8.69901748251834e-10,1.5940480165267966e-07,Upregulated
ENSG00000143476,DTL,398.8821544238359,3.2918745859645395,0.5375122466354372,6.124278296113361,9.109555685499108e-10,1.6573535204667697e-07,Upregulated
ENSG00000171310,CHST11,1955.6250729104245,2.497349251555431,0.4082961647246694,6.116514107448191,9.564442343411736e-10,1.7277724179364566e-07,Upregulated
ENSG00000262406,MMP12,565.8089734837789,4.697394139703268,0.7684511881831928,6.112807439089345,9.789346801120662e-10,1.7372084813805234e-07,Upregulated
