,PC1,PC2,condition
SRR29022831,-53.80079891173028,-33.266172650105716,TNBC
SRR29022832,18.11790580440126,-15.297914324222614,Paracancerous
SRR29022833,-23.57394103159813,-8.273172134736201,TNBC
SRR29022834,37.763930766081785,-11.808747453431117,Paracancerous
SRR29022835,-28.15299134033177,31.01616084473465,TNBC
SRR29022836,29.763371963873972,-7.272740938199728,Paracancerous
SRR29022837,-4.855479506886101,43.34766501033982,TNBC
SRR29022838,24.73800225618931,1.5549216456208614,Paracancerous
