Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000260179.1,4,14,4,6,6,8,5,2
ENSG00000160087.23,2340,2799,2526,2193,2094,1932,2123,1686
ENSG00000230415.2,21,277,55,51,45,90,31,78
ENSG00000162572.22,48,744,152,203,118,265,124,245
ENSG00000131584.21,1093,2978,1417,1672,4213,2025,1788,1765
ENSG00000278073.1,0,0,0,0,0,0,0,0
ENSG00000169972.15,322,395,508,288,709,279,474,250
ENSG00000127054.24,2889,5256,3703,3530,3442,3224,2726,3249
ENSG00000283712.1,0,0,0,0,0,0,0,0
ENSG00000240731.1,31,113,28,40,39,55,49,97
ENSG00000224051.9,946,1639,1295,1711,2566,1599,1443,1175
ENSG00000169962.6,64,86,231,23,705,97,94,39
ENSG00000107404.23,2727,4181,2447,2862,2576,2943,2253,2418
ENSG00000284372.1,0,0,0,0,0,0,0,0
ENSG00000304860.1,2,7,6,7,17,5,6,10
ENSG00000162576.19,2899,16931,6087,7228,3155,6973,5081,7833
ENSG00000175756.16,3373,3594,4406,3753,3640,3774,3427,1933
ENSG00000223663.2,0,2,2,0,0,0,0,0
ENSG00000221978.15,2950,13944,5406,7547,2896,7008,6075,8723
ENSG00000224870.10,374,590,561,422,333,452,478,393
ENSG00000242485.8,2482,2617,2598,2222,1874,2020,2395,1795
ENSG00000264293.2,0,0,0,0,0,0,0,0
ENSG00000301639.1,97,58,83,47,38,38,44,65
ENSG00000272455.1,221,131,235,110,127,148,134,241
ENSG00000235098.11,366,2637,553,828,270,1201,620,1383
ENSG00000225905.2,23,96,8,27,0,52,18,21
ENSG00000205116.4,17,50,4,14,0,20,12,47
ENSG00000225285.2,88,440,85,223,38,265,1357,187
ENSG00000179403.14,5497,6965,5270,5563,2637,5247,12380,5581
ENSG00000215915.10,139,487,107,892,79,452,109,383
ENSG00000160072.22,1137,2402,1649,1213,910,1356,965,1044
ENSG00000290916.2,9,0,0,2,1,2,11,0
ENSG00000284740.3,0,0,0,0,0,0,0,0
