Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,mRNA Methyltransferase Activity (GO:0008174),1/11,0.8533510670408411,0.9999946343044456,0,0,0.5244611059044049,0.0831712704543658,NSUN2
GO_Molecular_Function_2023,Monoamine Transmembrane Transporter Activity (GO:0008504),1/11,0.8533510670408411,0.9999946343044456,0,0,0.5244611059044049,0.0831712704543658,SLC6A2
GO_Molecular_Function_2023,Phosphatidylinositol 3-Kinase Activity (GO:0035004),1/11,0.8533510670408411,0.9999946343044456,0,0,0.5244611059044049,0.0831712704543658,PIK3C2G
GO_Molecular_Function_2023,Phosphatidylinositol Phosphate 5-Phosphatase Activity (GO:0034595),1/11,0.8533510670408411,0.9999946343044456,0,0,0.5244611059044049,0.0831712704543658,INPP5J
GO_Molecular_Function_2023,Phosphatidylinositol-3-Phosphate Phosphatase Activity (GO:0004438),1/11,0.8533510670408411,0.9999946343044456,0,0,0.5244611059044049,0.0831712704543658,MTMR7
GO_Molecular_Function_2023,Ubiquitin Ligase-Substrate Adaptor Activity (GO:1990756),5/44,0.8544251713959751,0.9999946343044456,0,0,0.6720643552047993,0.1057334321755575,SPSB1;KLHDC1;PRAME;DCAF13;SPSB4
GO_Molecular_Function_2023,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",49/348,0.8569339948119427,0.9999946343044456,0,0,0.8575482075254549,0.1324006257416369,ONECUT2;FOXI1;SCX;TCF21;MEOX2;IKZF3;HOXC11;HOXC10;SALL2;CREB3L1;MYBL2;HOXA5;NKX2-8;ETV1;KLF15;RFX6;ELF4;IRF4;HAND2;IRF1;TFEC;PGR;IRF5;ATF5;ZNF395;CEBPE;LEF1;GATA4;GATA3;FOXO4;HIF1A;BARX2;ALX4;ZNF668;E2F2;E2F3;ZBED4;ZNF267;EGR1;POU4F1;ESR1;MEIS2;TBX3;GARS1;NR4A3;WT1;MEIS3P2;MEIS3P1;MIXL1
GO_Molecular_Function_2023,Hormone Activity (GO:0005179),9/74,0.8577830296042785,0.9999946343044456,0,0,0.7256113132091836,0.1113117437208981,CCL25;PYY;EDN2;GAL;VGF;LEP;PNOC;INHBA;PTHLH
GO_Molecular_Function_2023,Protein Kinase Regulator Activity (GO:0019887),13/103,0.8603043505055165,0.9999946343044456,0,0,0.7567819936587575,0.1138722724896233,CDKN1C;CCNF;CCNA2;CCNB2;CXCL10;CCNB1;SOCS1;GPRC5A;WNT11;CCNE1;NCKAP1L;MCM2;CDK5R1
GO_Molecular_Function_2023,Transition Metal Ion Binding (GO:0046914),65/456,0.8648055578923208,0.9999946343044456,0,0,0.8694633069371669,0.1262900547362069,CDA;MOXD1;SUV39H2;ADAMDEC1;FEN1;DYRK2;MT1M;PHF8;IFIH1;RPH3A;ADAMTS4;CSRP1;CA9;TK1;XXYLT1;MME;PARP1;BHMT2;ZBTB32;NRG1;MMP8;MMP9;ZDHHC15;MMP12;MMP13;ZNF93;DCT;SCO2;TET3;DPEP1;ADAM8;TARS1;FTL;PAPPA2;BLM;UHRF1;ADH1A;CYP3A4;TMEM163;RASGRP1;ABO;ACMSD;DPP3;ABL2;AOC3;EGR1;AOC1;SEC24A;GCH1;LVRN;SLC31A1;PDE2A;ADAM33;GRIN2B;RABIF;CD4;EPRS1;WT1;QPCT;MSRB3;CALR;ZNF214;CDO1;SEC24D;ADA
GO_Molecular_Function_2023,Acylglycerol O-acyltransferase Activity (GO:0016411),3/29,0.8651111646366034,0.9999946343044456,0,0,0.6049486618414408,0.0876554073385864,LPCAT1;LCLAT1;PNPLA2
GO_Molecular_Function_2023,Aminopeptidase Activity (GO:0004177),3/29,0.8651111646366034,0.9999946343044456,0,0,0.6049486618414408,0.0876554073385864,LVRN;CXCR4;CTSH
GO_Molecular_Function_2023,Gamma-Tubulin Binding (GO:0043015),3/29,0.8651111646366034,0.9999946343044456,0,0,0.6049486618414408,0.0876554073385864,RACGAP1;DIXDC1;BRCA2
GO_Molecular_Function_2023,Metallocarboxypeptidase Activity (GO:0004181),3/29,0.8651111646366034,0.9999946343044456,0,0,0.6049486618414408,0.0876554073385864,CPA1;CPB1;CPA4
GO_Molecular_Function_2023,methyl-CpG Binding (GO:0008327),3/29,0.8651111646366034,0.9999946343044456,0,0,0.6049486618414408,0.0876554073385864,UHRF1;TET3;DPEP1
GO_Molecular_Function_2023,DNA Polymerase Activity (GO:0034061),2/21,0.8718976624236034,0.9999946343044456,0,0,0.5519407894736842,0.0756618215348963,POLQ;POLI
GO_Molecular_Function_2023,Lipid Kinase Activity (GO:0001727),2/21,0.8718976624236034,0.9999946343044456,0,0,0.5519407894736842,0.0756618215348963,PIK3C2G;DGKI
GO_Molecular_Function_2023,Metal Cation:Proton Antiporter Activity (GO:0051139),2/21,0.8718976624236034,0.9999946343044456,0,0,0.5519407894736842,0.0756618215348963,SLC11A1;SLC17A7
GO_Molecular_Function_2023,"2 Iron, 2 Sulfur Cluster Binding (GO:0051537)",1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,CISD3
GO_Molecular_Function_2023,5'-Nucleotidase Activity (GO:0008253),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,NT5DC4
GO_Molecular_Function_2023,GABA-gated Chloride Ion Channel Activity (GO:0022851),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,GABRG1
GO_Molecular_Function_2023,NAD+ Binding (GO:0070403),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,PARP15
GO_Molecular_Function_2023,RNA 7-Methylguanosine Cap Binding (GO:0000340),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,CYFIP2
GO_Molecular_Function_2023,Cytochrome-C Oxidase Activity (GO:0004129),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,COX7A1
GO_Molecular_Function_2023,"Hydrolase Activity, Acting On Carbon-Nitrogen (But Not Peptide) Bonds, In Cyclic Amides (GO:0016812)",1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,DPEP1
GO_Molecular_Function_2023,Ligand-Gated Channel Activity (GO:0022834),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,CHRNB4
GO_Molecular_Function_2023,Monocarboxylate:Sodium Symporter Activity (GO:0140161),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,SLC6A12
GO_Molecular_Function_2023,Phosphatidylinositol Monophosphate Phosphatase Activity (GO:0052744),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,MTMR7
GO_Molecular_Function_2023,poly(A)-specific Ribonuclease Activity (GO:0004535),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,NOCT
GO_Molecular_Function_2023,Potassium:Proton Antiporter Activity (GO:0015386),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,SLC17A7
GO_Molecular_Function_2023,Titin Binding (GO:0031432),1/12,0.8768422290612589,0.9999946343044456,0,0,0.4767544233336173,0.0626589762926393,OBSCN
GO_Molecular_Function_2023,Myosin Binding (GO:0017022),6/54,0.8830497889286889,0.9999946343044456,0,0,0.6551157697121401,0.0814791681883824,MYLK2;GSN;MYOC;CXCR4;CORO1A;LARP6
GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),7/62,0.8869373090376808,0.9999946343044456,0,0,0.6669568928723858,0.0800221394187409,H2AZ1;PARP1;CGAS;RCC1;MACROH2A1;H1-2;SMARCA4
GO_Molecular_Function_2023,Phospholipase Activity (GO:0004620),9/77,0.8871061248112786,0.9999946343044456,0,0,0.6934746964868002,0.0830717910111336,PLA2G2D;PNPLA7;ABHD3;LIPG;PLAAT3;LCP1;PLAAT5;PLA1A;PNPLA2
GO_Molecular_Function_2023,Phosphatase Inhibitor Activity (GO:0019212),2/22,0.8883232146920498,0.9999946343044456,0,0,0.5243125,0.0620888879055898,TESC;PTN
