Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	160/1195	9.958368e-01	9.999937e-01	0	0	8.010494e-01	3.341857e-03	JPT1;RIPOR2;PRDM5;FOXI1;HJURP;BUB1B;PRDM1;MKI67;CDC20;LIPE;RPS6KA6;BASP1;RCC1;FBXO5;MNX1;MAGI1;CCDC78;RSAD2;CD180;ZFP69B;ARID5A;ACSL3;ESCO2;HASPIN;PIMREG;ILF2;TRAIP;MYCL;BIN2;FANCD2;JTB;ADAM8;KIF20A;MAD1L1;KANK3;IPPK;BLM;CDCA2;CDCA5;CDCA8;ABCB8;AK5;HMMR;PKMYT1;MRPL13;MACROH2A1;PPL;RAD51AP1;CNN1;RACGAP1;IRAK1;LPXN;PLK4;CAV1;PYHIN1;PLK1;CDC6;CIDEC;SMARCA4;ISG20;MFHAS1;TPX2;PARVG;UBE2T;INTS7;CEP85;HOXD9;FERMT3;TOP2A;FEN1;DYRK2;EDA;MRPS12;HILPDA;TCHH;LPCAT1;MCM10;KIF11;LDB2;FMN2;STON2;FOXM1;FBLL1;GLI3;TNFSF13B;PHF8;OASL;CASP8;CPT2;GPER1;HORMAD1;SCN5A;ABCC4;CNTD1;PARP1;RIPK2;NSUN2;TEX11;MARS1;EN2;KIF23;URB2;TUBG2;SMC1A;CKAP4;CLDN11;FGR;ARL4A;ANKFN1;GPRC5A;SAPCD2;ITPKA;DCX;KIF2C;ALDOC;LCP1;GAPDH;PLIN5;MCM2;CSTB;NRXN1;HSD17B13;RRBP1;TTK;NOD2;AURKB;FBXL22;AURKA;RECQL4;NWD1;MXI1;BEND3;SHOC1;PDLIM4;DCAF13;E2F8;ADAD2;GSN;STAT1;TAF13;G0S2;BYSL;VMP1;CENPE;BOP1;CENPF;FABP4;CENPH;NOVA1;PRC1;SPRY2;PTPN6;EPPK1;MNDA;BMAL2;TRIP13;NOP53;SPC24;NEK11;PNPLA2
GO_Cellular_Component_2023	Endoplasmic Reticulum Membrane (GO:0005789)	102/801	9.964992e-01	9.999937e-01	0	0	7.578098e-01	2.657564e-03	ERO1A;TUSC3;PROS1;MSMO1;ZDHHC1;CYP46A1;LCLAT1;PSMD2;LRAT;SLC39A7;FADS1;NOMO2;PDGFRA;RSAD2;ATG9B;ALG3;TAP1;CYBA;ACSL3;PDIA6;PDIA5;CYP39A1;SOAT1;KDELR3;SIK2;SLC27A4;COPB2;RPN2;SH2D2A;ITPR1;TGFA;CYP4F22;SEL1L2;APOO;HMOX1;APOB;HLA-DQA2;SLC37A2;SLC37A1;SRD5A1;CAV1;SLC16A11;CYP4F11;GRIN2B;CYP4F12;DNAJC18;SQLE;MYMX;NCEH1;REEP4;CYP2S1;CALU;CDK1;NOX4;HLA-DRA;SRPRB;CALR;DHCR7;RNF186;MOXD1;SRXN1;ATP2A3;LPCAT1;FMN2;RYR3;JPH2;SPTLC3;RAC2;FLVCR2;XXYLT1;ABCD1;HLA-DPA1;SEC13;TMED9;ELOVL2;RHBDF2;PLAUR;TRDN;DCSTAMP;NOS1AP;CASQ2;RDH5;TLR8;HLA-DQB2;GRAMD1C;CYP3A4;SELENOI;SEC24A;FMO2;SGPP2;VMP1;CD4;DHRS9;GLB1;POMK;BAX;COPG1;SEC24D;PLCD4;FOLR1;LPIN3;PNPLA2
GO_Cellular_Component_2023	Golgi-associated Vesicle (GO:0005798)	2/47	9.972839e-01	9.999937e-01	0	0	2.326806e-01	6.328453e-04	TMED9;MAP6
GO_Cellular_Component_2023	Autophagosome Membrane (GO:0000421)	1/35	9.977819e-01	9.999937e-01	0	0	1.540327e-01	3.420393e-04	VMP1
GO_Cellular_Component_2023	U2-type Precatalytic Spliceosome (GO:0071005)	2/49	9.980114e-01	9.999937e-01	0	0	2.227527e-01	4.434084e-04	SNRPG;TXNL4A
GO_Cellular_Component_2023	Autophagosome (GO:0005776)	5/83	9.983771e-01	9.999937e-01	0	0	3.352502e-01	5.445115e-04	VMP1;HSPA8;RUFY4;ATG9B;FTL
GO_Cellular_Component_2023	Mitochondrial Intermembrane Space (GO:0005758)	3/62	9.983813e-01	9.999937e-01	0	0	2.660630e-01	4.310233e-04	AIFM1;MYOC;CYCS
GO_Cellular_Component_2023	Ciliary Membrane (GO:0060170)	1/38	9.986860e-01	9.999937e-01	0	0	1.415183e-01	1.860711e-04	DRD2
GO_Cellular_Component_2023	Precatalytic Spliceosome (GO:0071011)	2/52	9.987570e-01	9.999937e-01	0	0	2.093500e-01	2.603790e-04	SNRPG;TXNL4A
GO_Cellular_Component_2023	Cytoplasmic Stress Granule (GO:0010494)	4/76	9.989570e-01	9.999937e-01	0	0	2.905635e-01	3.032178e-04	RBPMS;CIRBP;G3BP2;LARP1B
