Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Lipase Activator Activity (GO:0060229)	6/12	6.454116e-03	3.031693e-01	0	0	5.254068e+00	2.649646e+01	LCK;CCL5;BTK;CCL3;ARHGAP6;GPIHBP1
GO_Molecular_Function_2023	Tumor Necrosis Factor Receptor Superfamily Binding (GO:0032813)	10/27	6.644685e-03	3.031693e-01	0	0	3.092474e+00	1.550547e+01	TNFSF18;EDA;CD40LG;STAT1;TNFSF4;DAB2IP;TNFSF11;TNFSF9;TRAF1;MYD88
GO_Molecular_Function_2023	CCR Chemokine Receptor Binding (GO:0048020)	14/44	6.935246e-03	3.031693e-01	0	0	2.454538e+00	1.220185e+01	CCL25;CCL13;CCL22;CCL20;CXCL13;CCL5;CCL4;CCRL2;CCL3;CCL2;XCL1;CCL18;CCL17;CCR2
GO_Molecular_Function_2023	MHC Class II Receptor Activity (GO:0032395)	5/9	7.491173e-03	3.072753e-01	0	0	6.566312e+00	3.213573e+01	HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DQB2;HLA-DPA1
GO_Molecular_Function_2023	CXCR Chemokine Receptor Binding (GO:0045236)	7/16	8.033341e-03	3.072753e-01	0	0	4.087046e+00	1.971654e+01	CXCL10;CXCL9;CXCL11;CXCL8;CXCL12;CXCL13;YARS1
GO_Molecular_Function_2023	Ionotropic Glutamate Receptor Activity (GO:0004970)	7/16	8.033341e-03	3.072753e-01	0	0	4.087046e+00	1.971654e+01	GRIA2;GRIK5;GRIK3;GRIK1;GRIN2B;GRIA3;GRIA4
GO_Molecular_Function_2023	Chemorepellent Activity (GO:0045499)	9/24	9.015380e-03	3.310448e-01	0	0	3.153711e+00	1.485027e+01	SEMA5A;SEMA5B;SEMA7A;SEMA3C;SEMA4D;SEMA3D;SEMA6D;SEMA3G;NRG1
GO_Molecular_Function_2023	Chemokine Binding (GO:0019956)	7/17	1.179583e-02	3.974198e-01	0	0	3.678122e+00	1.633090e+01	CCR1;CX3CR1;ITGA4;CXCR3;CXCR4;CCR5;FGF2
GO_Molecular_Function_2023	Protein Tyrosine Kinase Activity (GO:0004713)	25/99	1.179979e-02	3.974198e-01	0	0	1.778407e+00	7.895548e+00	BLK;RET;ITK;CCL13;DYRK2;TTBK1;IGF1R;ABL2;CSK;EPHB2;JAK3;NTRK1;PDGFRA;SYK;RIPK2;INSRR;PTK6;FGR;HCK;ZAP70;MELK;LCK;KIT;BTK;FGFR1
GO_Molecular_Function_2023	MHC Class II Protein Complex Binding (GO:0023026)	9/25	1.212174e-02	3.974198e-01	0	0	2.956428e+00	1.304599e+01	HSPA8;CD4;HLA-DMB;HLA-DRA;HLA-DOB;HLA-DQA2;MS4A1;HLA-DQB2;HLA-DPA1
GO_Molecular_Function_2023	Phospholipase Activator Activity (GO:0016004)	5/10	1.302242e-02	4.122271e-01	0	0	5.252737e+00	2.280256e+01	LCK;CCL5;BTK;CCL3;ARHGAP6
GO_Molecular_Function_2023	MHC Protein Binding (GO:0042287)	11/34	1.392613e-02	4.261397e-01	0	0	2.514204e+00	1.074568e+01	LAG3;CD4;TRBV7-9;CLEC7A;CD8A;TRAV8-4;TAP1;LILRB1;LILRB2;PILRA;TRAV29DV5
GO_Molecular_Function_2023	C-C Chemokine Binding (GO:0019957)	4/7	1.526678e-02	4.514275e-01	0	0	7.002293e+00	2.928412e+01	CCR1;CXCR4;CCR7;CCR5
GO_Molecular_Function_2023	Hyaluronic Acid Binding (GO:0005540)	6/14	1.573604e-02	4.514275e-01	0	0	3.940081e+00	1.635844e+01	CEMIP;ITIH2;TNFAIP6;STAB2;LYVE1;IMPG1
GO_Molecular_Function_2023	Single-Stranded DNA Helicase Activity (GO:0017116)	8/22	1.660493e-02	4.619189e-01	0	0	3.002773e+00	1.230553e+01	PIF1;POLQ;RFC4;RAD51;MCM4;DNA2;MCM6;MCM2
GO_Molecular_Function_2023	G Protein-Coupled Receptor Activity (GO:0004930)	53/250	1.768528e-02	4.775025e-01	0	0	1.418310e+00	5.722914e+00	GPR27;VIPR1;PTGDR2;GPR65;MRGPRF;AKR1B1;PTH1R;GPR62;GRPR;GPR174;GRM4;GPER1;GRM8;CCR7;CMKLR2;GPR135;MRGPRX3;MRGPRX2;GPR31;PDGFRL;ADGRB3;PGR;CX3CR1;ADCYAP1R1;NPR1;C5AR2;PTAFR;C5AR1;GPR88;CXCR5;LPAR2;CXCR4;FPR2;CXCR6;P2RY8;P2RY6;CNR2;DRD2;S1PR4;TAS1R3;NTSR1;GPR17;GABBR2;GABBR1;P2RY10;GPR55;TSHR;GPR141;GPR183;ADGRD2;NMUR1;LGR6;F2RL3
GO_Molecular_Function_2023	SH2 Domain Binding (GO:0042169)	10/31	1.905733e-02	4.998465e-01	0	0	2.502834e+00	9.911984e+00	AFAP1L2;IRS1;SIT1;LCK;SIGLEC10;LILRB1;LAX1;PAG1;SH2B2;SLAMF1
GO_Molecular_Function_2023	Carboxylic Acid Transmembrane Transporter Activity (GO:0046943)	16/59	2.054788e-02	5.152419e-01	0	0	1.956817e+00	7.602228e+00	SLC36A1;ABCC1;SLC43A2;SLC7A14;SLC16A12;SLC6A12;SLC16A11;SLC16A10;SLC7A3;SLC5A6;SLC7A5;SLC7A6;SLC16A9;SLC16A3;SLC16A4;SLC38A5
GO_Molecular_Function_2023	Complement Receptor Activity (GO:0004875)	5/11	2.076683e-02	5.152419e-01	0	0	4.377020e+00	1.695832e+01	CR2;C5AR2;C5AR1;FPR3;FPR2
GO_Molecular_Function_2023	Lipoprotein Particle Binding (GO:0071813)	8/23	2.196731e-02	5.306839e-01	0	0	2.802421e+00	1.070020e+01	MSR1;STAB2;PCSK9;CD36;LCP1;MAPT;HSPD1;GPIHBP1
GO_Molecular_Function_2023	Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028)	10/32	2.384474e-02	5.612685e-01	0	0	2.388927e+00	8.925488e+00	SLC5A6;SLC27A1;SLC16A12;SLC16A11;SLC6A12;SLC16A10;SLC16A9;SLC16A3;SLC16A4;SLC26A6
GO_Molecular_Function_2023	Cytokine Receptor Binding (GO:0005126)	24/100	2.449065e-02	5.620604e-01	0	0	1.661621e+00	6.163723e+00	TNFSF18;IL10;CCL25;TSLP;SYK;IL18;OSM;LIFR;VEGFD;TGFBR3;MYDGF;CXCL12;IL23A;TNFSF4;CCL5;CCRL2;IL12B;TNFSF11;TNFSF9;XCL1;IL6ST;CD300LF;IL12RB1;JAK3
GO_Molecular_Function_2023	Endodeoxyribonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016888)	4/8	2.670031e-02	5.978264e-01	0	0	5.251407e+00	1.902627e+01	GEN1;FEN1;EXO1;DNA2
GO_Molecular_Function_2023	Platelet-Derived Growth Factor Receptor Binding (GO:0005161)	5/12	3.099022e-02	6.345037e-01	0	0	3.751508e+00	1.303305e+01	PDGFRA;PDGFD;PDGFA;PTPRJ;VEGFD
GO_Molecular_Function_2023	5'-Flap Endonuclease Activity (GO:0017108)	3/5	3.179430e-02	6.345037e-01	0	0	7.875586e+00	2.715871e+01	GEN1;FEN1;EXO1
GO_Molecular_Function_2023	Double-Stranded Methylated DNA Binding (GO:0010385)	3/5	3.179430e-02	6.345037e-01	0	0	7.875586e+00	2.715871e+01	EGR1;WT1;MACROH2A1
GO_Molecular_Function_2023	Myosin Light Chain Binding (GO:0032027)	3/5	3.179430e-02	6.345037e-01	0	0	7.875586e+00	2.715871e+01	MYLK2;MYOC;IQGAP3
GO_Molecular_Function_2023	Sterol Esterase Activity (GO:0004771)	3/5	3.179430e-02	6.345037e-01	0	0	7.875586e+00	2.715871e+01	LIPE;NCEH1;LCAT
GO_Molecular_Function_2023	Transmitter-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:1904315)	10/34	3.590516e-02	6.908717e-01	0	0	2.189589e+00	7.284486e+00	CHRNA1;GRIA2;CHRNB4;GRIK5;CHRNA6;GRIK3;GRIK1;GRIN2B;GRIA3;GRIA4
GO_Molecular_Function_2023	Adenylyltransferase Activity (GO:0070566)	8/25	3.612401e-02	6.908717e-01	0	0	2.472430e+00	8.210439e+00	OAS1;FLAD1;OAS2;OAS3;NMNAT2;TENT5B;TENT5C;OASL
GO_Molecular_Function_2023	Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (GO:0099529)	7/21	3.946659e-02	7.333570e-01	0	0	2.626604e+00	8.489974e+00	GRIA2;GRIK5;GRIK3;GRIK1;GRIN2B;GRIA3;GRIA4
GO_Molecular_Function_2023	Aromatic Amino Acid Transmembrane Transporter Activity (GO:0015173)	4/9	4.206764e-02	7.333570e-01	0	0	4.200876e+00	1.331038e+01	SLC7A5;SLC43A2;SLC16A10;SLC38A5
GO_Molecular_Function_2023	Inhibitory MHC Class I Receptor Activity (GO:0032396)	4/9	4.206764e-02	7.333570e-01	0	0	4.200876e+00	1.331038e+01	LILRB1;LILRB2;LILRB4;LILRA4
GO_Molecular_Function_2023	Phosphate Ion Binding (GO:0042301)	4/9	4.206764e-02	7.333570e-01	0	0	4.200876e+00	1.331038e+01	RPH3A;PNP;MTHFD2;PDE2A
GO_Molecular_Function_2023	Histone Acetyltransferase Binding (GO:0035035)	6/17	4.233979e-02	7.333570e-01	0	0	2.865002e+00	9.059216e+00	EGR1;PCNA;STAT1;PAX6;FOXP3;GLI3
GO_Molecular_Function_2023	Growth Factor Receptor Binding (GO:0070851)	22/96	4.833493e-02	8.216938e-01	0	0	1.563522e+00	4.736847e+00	KLB;IL10;ARF4;PDGFRA;KL;TSLP;SLA;PDGFA;TGFA;PTPRJ;VEGFD;FGF1;FGF2;ESM1;FGF9;PDGFD;IL12B;IL6ST;CD300LF;IL12RB1;CNOT9;FGF10
GO_Molecular_Function_2023	Kinase Binding (GO:0019900)	87/460	5.138284e-02	8.291516e-01	0	0	1.229866e+00	3.650796e+00	MYOM1;TFRC;ITGB2;KIF14;PTPN22;PTPRJ;KIF11;FOXM1;CD3E;CKS1B;TTC28;SPRED3;POTEKP;TCL1A;SIT1;WWC3;FBXO5;SCN5A;TNS2;BORA;PARP1;FCRL3;UNC5C;PAX6;ACSL3;CDC25C;LAX1;YWHAZ;CDC25A;CIT;SGO1;ACTA2;CCNA2;FGR;TIAM1;LCK;CKS2;DCX;JTB;HCLS1;CD226;SIK1;VDAC1;IRF5;KIF20A;MAPT;ATF5;AGAP2;WAS;THY1;NOD2;PTN;HIF1A;MACROH2A1;AURKB;RELB;AURKA;CCNB1;SOCS1;RACGAP1;IRAK1;SASH1;TCF7L2;GSN;CDKN2A;CAV2;RCC2;CAV1;PLK1;SH2D1A;IL31RA;DAB2IP;CDC6;ESR1;WARS1;TPX2;GARS1;PER1;CD4;PTPRC;NR4A3;PRC1;SPRY2;PTPN6;CNOT9;FERMT2;CDK5R1
GO_Molecular_Function_2023	Microtubule Binding (GO:0008017)	48/239	5.369597e-02	8.291516e-01	0	0	1.323236e+00	3.869695e+00	KIF14;KIF12;SPATA4;SKA1;KIF15;RACGAP1;KIF5C;KIF5A;CCDC181;MAP6;KIF21A;KIF21B;UBASH3A;KIF1A;FSD1;GTSE1;DLGAP5;ENKD1;DST;SPAG5;RCC2;STARD9;PLK1;KIF23;CFAP157;KNSTRN;DCDC1;EML4;CLIP3;CENPE;KIF18A;KIF18B;CDK5;NAV3;KIFC1;KIF26A;REEP4;PRC1;CCDC88C;DCX;CCDC170;BIRC5;KIF2C;KIF20A;MAPT;GAPDH;SPC24;SPACA9
