Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oocyte meiosis	29/129	3.343233e-02	2.240677e-01	0	0	1.526133e+00	5.186154e+00	CAMK2B;CAMK2A;ITPR1;ADCY4;ADCY1;PKMYT1;ADCY7;IGF1R;ADCY5;AURKA;CDC20;CCNB2;RPS6KA6;CCNB1;PTTG1;FBXO5;BUB1;PLK1;CDC25C;SMC1A;YWHAZ;SGO1;CPEB1;ESPL1;CCNE1;CDK1;PGR;MAD1L1;MAD2L1
KEGG_2021_Human	T cell receptor signaling pathway	24/104	3.769313e-02	2.473612e-01	0	0	1.578162e+00	5.173654e+00	IL10;ITK;CSF2;CD3G;CD3E;RASGRP1;CD3D;VAV1;ZAP70;CD4;PTPRC;CD40LG;IFNG;CD8A;LCK;CTLA4;PRKCQ;LCP2;PTPN6;PDCD1;ICOS;NFKBIE;CARD11;PAK5
KEGG_2021_Human	Focal adhesion	42/201	3.919171e-02	2.519467e-01	0	0	1.390888e+00	4.505491e+00	MYLK2;TNXB;LAMA2;LAMC3;RASGRF1;LAMA3;PDGFA;MYLK;IGF1R;COMP;IBSP;PDGFD;CHAD;RAC2;ITGB7;PAK5;PDGFRA;ITGA4;LAMB3;PRKCB;CAV2;ITGA3;CAV1;ITGA2;FN1;VEGFD;VAV1;COL1A1;DIAPH1;COL1A2;PARVG;COL4A1;ITGA10;COL4A6;ITGA7;COL9A3;COL6A6;COL6A5;PPP1R12B;MYL9;DOCK1;BIRC3
KEGG_2021_Human	Thyroid hormone synthesis	18/75	4.683912e-02	2.903579e-01	0	0	1.660374e+00	5.082466e+00	GPX3;PRKCB;GSR;ADCY4;ITPR1;ATP1A2;ATP1B2;ADCY1;LRP2;ADCY7;TSHR;PDIA4;ADCY5;TPO;TG;IYD;CREB3L1;CREB3L2
KEGG_2021_Human	Cholesterol metabolism	13/50	4.753913e-02	2.903579e-01	0	0	1.846660e+00	5.625301e+00	PCSK9;LCAT;LPL;LRP2;NCEH1;SOAT1;LIPG;ANGPTL8;APOC1;VDAC1;CD36;APOE;APOB
KEGG_2021_Human	Regulation of lipolysis in adipocytes	14/55	4.793210e-02	2.903579e-01	0	0	1.794825e+00	5.452625e+00	IRS1;NPR1;PTGER3;NPY1R;ADCY4;IRS2;PLAAT3;ADCY1;ADCY7;TSHR;ADCY5;LIPE;FABP4;PNPLA2
KEGG_2021_Human	Small cell lung cancer	21/92	5.478248e-02	3.255940e-01	0	0	1.555304e+00	4.517202e+00	LAMA2;LAMB3;LAMC3;ITGA3;ITGA2;LAMA3;FN1;TRAF1;CKS1B;CCNE1;COL4A1;CKS2;COL4A6;E2F1;E2F2;BAX;CYCS;E2F3;BAK1;RXRG;BIRC3
KEGG_2021_Human	Aldosterone synthesis and secretion	22/98	5.884430e-02	3.432584e-01	0	0	1.522195e+00	4.312165e+00	CAMK2B;CAMK1D;KCNK9;PRKCB;NPR1;PDE2A;CAMK2A;ITPR1;ADCY4;ATP1A2;ATP1B2;ADCY1;CACNA1F;ADCY7;CACNA1G;ADCY5;LIPE;CREB3L1;CAMK4;CREB3L2;AGTR1;KCNK3
KEGG_2021_Human	Graft-versus-host disease	11/42	6.222371e-02	3.563722e-01	0	0	1.864488e+00	5.177718e+00	CD86;HLA-DMB;IFNG;CD80;HLA-DPB1;GZMB;HLA-DRA;FASLG;HLA-DOB;HLA-DQA2;HLA-DPA1
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	12/48	7.198354e-02	4.049074e-01	0	0	1.751515e+00	4.608793e+00	GMPPB;CHIT1;HK3;GALE;GMDS;PMM2;UAP1;NPL;GFUS;NANS;HK2;GCK
KEGG_2021_Human	PI3K-Akt signaling pathway	67/354	7.758634e-02	4.287666e-01	0	0	1.229501e+00	3.143051e+00	IRS1;LAMC3;FASLG;FGF1;FGF2;IGF1R;COMP;TCL1A;FGF9;IBSP;CREB3L1;CREB3L2;ITGB7;JAK3;MAGI1;PDGFRA;SYK;ITGA4;ITGA3;ITGA2;MAGI2;YWHAZ;CCNE1;COL4A1;KIT;COL4A6;ITGA7;COL6A6;COL6A5;SGK2;TNXB;LAMA2;LAMA3;LPAR2;PDGFA;TGFA;IL2RG;PIK3R5;NTF4;CD19;PDGFD;GNG7;CHAD;EIF4EBP1;NTRK1;ANGPT4;NTRK2;LAMB3;BDNF;FN1;IGF2;OSM;VEGFD;GNG11;COL1A1;EFNA3;COL1A2;PPP2R2C;ITGA10;IL2RA;IL2RB;COL9A3;FGFR4;IL7R;PIK3AP1;FGF10;FGFR1
KEGG_2021_Human	Fanconi anemia pathway	13/54	8.094292e-02	4.396038e-01	0	0	1.666101e+00	4.188596e+00	FANCI;RMI2;BLM;FANCA;FAAP24;FANCB;BRCA2;BRIP1;RAD51;EME1;FANCD2;UBE2T;POLI
KEGG_2021_Human	Chagas disease	22/102	8.445383e-02	4.508976e-01	0	0	1.445739e+00	3.573217e+00	IL10;C1QB;C1QA;CXCL8;SERPINE1;CD3G;FASLG;ADCY1;CD3E;CD3D;CASP8;IRAK1;IFNG;PPP2R2C;CCL5;CCL3;IL12B;CCL2;CALR;TLR6;MYD88;C1QC
KEGG_2021_Human	Steroid biosynthesis	6/20	8.710469e-02	4.514945e-01	0	0	2.250670e+00	5.493087e+00	CYP27B1;SQLE;EBP;SOAT1;MSMO1;DHCR7
KEGG_2021_Human	Circadian entrainment	21/97	8.743227e-02	4.514945e-01	0	0	1.452547e+00	3.539699e+00	CAMK2B;GRIA2;ADCYAP1R1;KCNJ6;PRKCB;CAMK2A;ITPR1;ADCY4;ADCY1;GNG11;GRIN2B;ADCY7;RYR3;CACNA1G;ADCY5;PER2;PER1;GNG7;NOS1AP;GRIA3;GRIA4
KEGG_2021_Human	Alcoholism	37/186	9.101712e-02	4.624257e-01	0	0	1.306261e+00	3.130725e+00	H2AX;MAOB;MACROH2A1;ADCY5;H2AC11;H2AC13;H2AC14;H3C13;CREB3L1;GNG7;CREB3L2;H3C12;H3C10;H3C2;H4C4;DRD2;H3C4;H4C8;H2AZ1;H2BC9;H3C8;NTRK2;H2AC8;H2BC7;H2BC8;H2BC5;BDNF;H2BC6;H2BC4;GNG11;GRIN2B;H2BC17;H2BC12;H2BC13;H2AJ;CAMK4;H2BC11
